#Aplicación presupuestaria,Funcional,Economico,Desc. Funcional,Desc. Economico,Proyecto,Desc. Proyecto,Suma Cons. inicial,Suma Modificaciones,Suma Cons. definitiva,Suma O
2009,4521,632,Polisportiu Municipal,Inv. rep. edificis i cons,926,ADEQUACIÓ CAMP PORT FUTB.,1,31373.27,31374.27,29980.1
2009,4522,226,Ponencia d'Esports,Despeses diverses,,,15000,27994.74,42994.74,42355.99
2009,4522,467,Ponencia d'Esports,A consorcis,,,3000,0,3000,3000
2009,4522,481,Ponencia d'Esports,"Premis, beques estudis",,,3000,-2500,500,500
2009,4522,489,Ponencia d'Esports,Altres transferencies,,,150000,-5500,144500,144500
2009,4531,627,Prot. Patrimoni  Hist-art,projectes complexos,,,0,291300,291300,40058.28
2009,4540,226,Festes,Despeses diverses,,,165000,18616.54,183616.54,183401.98
2009,4540,489,Festes,Altres transferencies,,,35000,-17200,17800,17800
2009,4610,489,Bandes de Música,Altres transferencies,,,37500,0,37500,37500
2009,4631,489,Mitjans de comunicació,Altres transferencies,,,26000,0,26000,26000
2009,4640,226,Junta Local Fallera,Despeses diverses,,,0,19699,19699,19693.15
2009,4640,489,Junta Local Fallera,Altres transferencies,,,20000,-19700,300,300
2009,4640,622,Junta Local Fallera,Edificis i altres constr.,,,0,600000,600000,0
2009,4641,226,Comissions falles,Despeses diverses,,,0,5001,5001,5000
2009,4641,489,Comissions falles,Altres transferencies,,,17000,-5000,12000,12000
2009,4650,226,Entitats no Lucratives,Despeses diverses,,,600,0,600,534.14
2009,4650,489,Entitats no Lucratives,Altres transferencies,,,5000,0,5000,5000
2009,4651,489,Consell Local de Joventut,Altres transferencies,,,7800,-1500,6300,6300
2009,4653,489,Pau i solidaritat: ONG,Altres transferencies,,,18900,0,18900,18360.49
2009,4653,780,Pau i solidaritat: ONG,A instit. sense fi lucre,,,19000,2775,21775,16275
2009,5110,601,Vies Publiques,Altres inversions,903,CARRIL BICI,1,86720,86721,0
2009,5110,601,Vies Publiques,Altres inversions,904,ROTONDA CAMI DEL PORT.,1,0,1,0
2009,5110,601,Vies Publiques,Altres inversions,905,Millora vials públics,216800,0,216800,0
2009,5310,226,Pla Ecològic ramad. agric,Despeses diverses,,,14000,-6000,8000,0
2009,5310,600,Pla Ecològic ramad. agric,Inversions en Terrenys,901,CASA FIGUERO,1,0,1,0
2009,6110,120,Serveis Econòmics,Retribucions basiques,,,116889.22,-75403.2,41486.02,83681.81
2009,6110,121,Serveis Econòmics,Retribuc. complementaries,,,174845.69,0,174845.69,127770.53
2009,6110,131,Serveis Econòmics,Personal Laboral eventual,,,0,0,0,4879.37
2009,6110,227,Serveis Econòmics,Treballs altres empreses,,,3000,17880,20880,5220
2009,6113,227,Recaptació,Treballs altres empreses,,,50000,6386.93,56386.93,56386.93
2009,6220,226,Fira Sant Sebastià,Despeses diverses,,,100000,15535.89,115535.89,115535.89
2009,6320,226,Participació Ciutadana,Despeses diverses,,,10000,0,10000,9749.52
2009,6320,489,Participació Ciutadana,Altres transferencies,,,4000,0,4000,3400
2009,7110,120,Consell Local Agrari,Retribucions basiques,,,39632.74,0,39632.74,39382.98
2009,7110,121,Consell Local Agrari,Retribuc. complementaries,,,54115.12,7118.48,61233.6,56637.46
2009,7110,131,Consell Local Agrari,Personal Laboral eventual,,,0,0,0,3365.36
2009,7110,204,Consell Local Agrari,Material de transport,,,9500,0,9500,9134.19
2009,7110,226,Consell Local Agrari,Despeses diverses,,,10000,0,10000,8941.69
2009,7110,601,Consell Local Agrari,Altres inversions,906,BARRANCONS.(CAMI RUSSAFA),60000,0,60000,621.3
2009,7110,601,Consell Local Agrari,Altres inversions,907,CAMINS RURALS.,119118.97,75052.84,194171.81,113571.2
2009,7111,120,Guarderia Rural,Retribucions basiques,,,21081.06,0,21081.06,20777.24
2009,7111,121,Guarderia Rural,Retribuc. complementaries,,,30217.5,0,30217.5,30418.06
2009,7111,131,Guarderia Rural,Personal Laboral eventual,,,0,60539.62,60539.62,49529.62
2009,7111,226,Guarderia Rural,Despeses diverses,,,0,125910.39,125910.39,112083.48
2009,7310,740,Energia electrica,Aport. Empresa mixta,,,0,7700,7700,0
2009,9112,466,Federació Municipis,A Ent. que agrupen munic.,,,6000,2026.55,8026.55,7000.78
2009,9114,463,Mancomunitat L'Horta Sud,A Mancomunitats,,,84684,-37696,46988,46987.3
2009,9116,463,Cancel.lacio deute Mancom,A Mancomunitats,,,0,37696.64,37696.64,37696.64
2009,9210,226,Indemnitzacions A. Publiq,Despeses diverses,,,50000,0,50000,21061.19
2009,1210,600,Serveis Generals,Inversions en Terrenys,,,0,191379.16,191379.16,7795.2
2009,1210,622,Serveis Generals,Edificis i altres constr.,,,0,300001,300001,0
2009,1210,625,Serveis Generals,Adquisicio mobiliari,,,0,2476.19,2476.19,1730.75
2009,1210,626,Serveis Generals,Equips per porc. informac,,,0,564.05,564.05,370.04
2009,1213,632,Edificis Municipals,Inv. rep. edificis i cons,,,0,0,0,0
2009,1214,626,Societat de la informació,Equips per porc. informac,,,0,36589.04,36589.04,25477.08
2009,3220,131,Escola Taller,Personal Laboral eventual,,,0,198205.2,198205.2,190898.27
2009,3220,226,Escola Taller,Despeses diverses,,,0,29830.78,29830.78,29830.78
2009,3222,131,Ocupació,Personal Laboral eventual,,,0,28695.75,28695.75,28695.75
2009,3222,226,Ocupació,Despeses diverses,,,0,2491.28,2491.28,0
2009,3222,632,Ocupació,Inv. rep. edificis i cons,,,0,35605.51,35605.51,0
2009,4223,623,Escola Permanent d'Adults,"Maquinaria, Inst. i Utill",,,0,972.8,972.8,0
2009,4226,780,OOAA Conservatori Música,A instit. sense fi lucre,,,0,6.01,6.01,0
2009,4260,632,Menjador Escolar,Inv. rep. edificis i cons,,,0,2.95,2.95,0
2009,4310,610,Edificis Corporació,Inversions en terrenys,,,0,8617.33,8617.33,0
2009,4310,622,Edificis Corporació,Edificis i altres constr.,,,0,0,0,0
2009,4310,623,Edificis Corporació,"Maquinaria, Inst. i Utill",,,0,17458.4,17458.4,17458.4
2009,4310,632,Edificis Corporació,Inv. rep. edificis i cons,,,0,401000,401000,207839.8
2009,4320,611,Urbanisme,Altres inversions reposic,,,0,18655.19,18655.19,10853.81
2009,4320,622,Urbanisme,Edificis i altres constr.,,,0,0,0,0
2009,4320,625,Urbanisme,Adquisicio mobiliari,,,0,1466.85,1466.85,0
2009,4340,601,Enllumenat Públic,Altres inversions,,,0,21990.77,21990.77,21989.77
2009,4341,601,Altres Conexions,Altres inversions,,,0,6000,6000,0
2009,4342,601,Enllumenta Públic,Altres inversions,,,0,1,1,0
2009,4351,601,Parcs i Jardins,Altres inversions,,,0,1616.36,1616.36,1613.87
2009,4430,611,Cementeri Municipal,Altres inversions reposic,,,0,13743.79,13743.79,0
2009,4430,622,Cementeri Municipal,Edificis i altres constr.,,,0,50000,50000,42910.07
2009,4440,611,Vies Públiques,Altres inversions reposic,,,0,40492.21,40492.21,14260
2009,4440,612,Vies Públiques,Inv repos. infraestructu.,,,0,28325.91,28325.91,25580.21
2009,4461,621,Zones Degradades,Terrenys i bens naturals,,,0,4741,4741,0
2009,4510,625,Biblioteques i Arxius,Adquisicio mobiliari,,,0,1105.8,1105.8,0
2009,4516,780,Ponència de Cultura,A instit. sense fi lucre,,,0,50,50,0
2009,4517,632,Casa de la Cultura,Inv. rep. edificis i cons,,,0,7793.02,7793.02,0
2009,4521,622,Polisportiu Municipal,Edificis i altres constr.,,,0,288221.77,288221.77,0
2009,4521,632,Polisportiu Municipal,Inv. rep. edificis i cons,,,0,29038.57,29038.57,28676.82
2009,5110,601,Vies Publiques,Altres inversions,,,0,141563.2,141563.2,30399.77
2009,5110,602,Vies Publiques,Altres inversions,,,0,938312.71,938312.71,278404.89
2009,5110,603,Vies Publiques,Altres inversions,,,0,97002.44,97002.44,0
2009,5110,606,Vies Publiques,Inversions en infrastruc.,,,0,2782.36,2782.36,0
2009,5110,608,Vies Publiques,Inversions en infrastruc.,,,0,257804.6,257804.6,78339.88
2009,5110,612,Vies Publiques,Inv repos. infraestructu.,,,0,24582.75,24582.75,0
2009,5110,627,Vies Publiques,projectes complexos,,,0,5336,5336,0
2009,5110,770,Vies Publiques,A Empreses privades,,,0,206101.54,206101.54,36323.07
2009,5111,602,Vies Publiques,Altres inversions,,,0,703857.7,703857.7,417692.74
2009,5111,611,Vies Publiques,Altres inversions reposic,,,0,7565.5,7565.5,0
2009,5112,611,vies Publiques,Altres inversions reposic,,,0,11303,11303,11302.54
2009,5120,611,Recursos Hidraulics,Altres inversions reposic,,,0,22240,22240,0
2009,5330,600,Millora Medi Natural,Inversions en Terrenys,,,0,78265.67,78265.67,0
2009,6110,626,Serveis Econòmics,Equips per porc. informac,,,0,16028.88,16028.88,13061.97
2009,7110,600,Consell Local Agrari,Inversions en Terrenys,,,0,1524.2,1524.2,0
2009,7110,601,Consell Local Agrari,Altres inversions,,,0,95705.63,95705.63,88341.96
2009,7110,623,Consell Local Agrari,"Maquinaria, Inst. i Utill",,,0,2668.52,2668.52,2603.52
2009,7110,624,Consell Local Agrari,Material de transport,,,0,5639.04,5639.04,0
2009,7110,632,Consell Local Agrari,Inv. rep. edificis i cons,,,0,1,1,0
2009,7111,131,Guarderia Rural,Personal Laboral eventual,,,0,3047.28,3047.28,0
2009,7111,226,Guarderia Rural,Despeses diverses,,,0,830.57,830.57,315
2009,7111,600,Guarderia Rural,Inversions en Terrenys,,,0,1482.37,1482.37,0
2009,7111,623,Guarderia Rural,"Maquinaria, Inst. i Utill",,,0,29.93,29.93,0
#,,,,,,,15208035.33,17182999.22,32391034.55,24424413.81
