#Aplicación presupuestaria,Funcional,Economico,Desc. Funcional,Desc. Economico,Proyecto,Desc. Proyecto,Suma Cons. inicial,Suma Modificaciones,Suma Cons. definitiva,Suma O
2009,3120,163,Personal Actiu,Despes.soc.-Prev riscos,,,12000,0,12000,10689.67
2009,3120,165,Personal Actiu,Desp. Socials-Pla formac.,,,10000,-2197.58,7802.42,862.5
2009,3120,226,Personal Actiu,Despeses diverses,,,3000,3862.24,6862.24,8836.58
2009,3120,227,Personal Actiu,Treballs altres empreses,,,1,5617.58,5618.58,3644.24
2009,3120,858,Personal Actiu,Avançaments,,,6,19682.08,19688.08,19682.08
2009,3121,121,"Segure., protecc. i prom.",Retribuc. complementaries,,,73440.2,-73440.2,0,0
2009,3121,161,"Segure., protecc. i prom.",Prestacions socials,,,6000,0,6000,4229.67
2009,3121,162,"Segure., protecc. i prom.",Despeses socials-Segur,,,25000,0,25000,25000
2009,3130,227,Asistència Domiciliaria,Treballs altres empreses,,,20000,0,20000,16991.18
2009,3131,480,Acció Social,Atencions benef i asisten,,,70000,25122.7,95122.7,77226.37
2009,3131,489,Acció Social,Altres transferencies,,,6000,7000,13000,11550
2009,3132,120,Asistència Social,Retribucions basiques,,,60193,0,60193,61428.36
2009,3132,121,Asistència Social,Retribuc. complementaries,,,67155.86,8098.44,75254.3,60325.33
2009,3132,130,Asistència Social,Personal Laboral fixe,,,0,0,0,53124.93
2009,3132,131,Asistència Social,Personal Laboral eventual,,,56121.85,-3862.24,52259.61,10718.42
2009,3132,226,Asistència Social,Despeses diverses,,,3000,-3000,0,74.94
2009,3132,227,Asistència Social,Treballs altres empreses,,,0,836.32,836.32,418.16
2009,3132,480,Asistència Social,Atencions benef i asisten,,,2000,-2000,0,0
2009,3133,226,Departament de la Dona,Despeses diverses,,,10000,1534.4,11534.4,6856.5
2009,3133,227,Departament de la Dona,Treballs altres empreses,,,5999,0,5999,9445.34
2009,3135,489,Associacio de Jubilats,Altres transferencies,,,15000,0,15000,15000
2009,3136,120,Centre Tercera Edat,Retribucions basiques,,,9512.58,0,9512.58,0
2009,3136,121,Centre Tercera Edat,Retribuc. complementaries,,,9303.15,0,9303.15,0
2009,3136,130,Centre Tercera Edat,Personal Laboral fixe,,,0,0,0,18512.54
2009,3136,212,Centre Tercera Edat,Edificis i altres constru,,,2000,12133.09,14133.09,13338.7
2009,3136,221,Centre Tercera Edat,Subministres,,,10000,4576.9,14576.9,16853.64
2009,3136,226,Centre Tercera Edat,Despeses diverses,,,2000,614.92,2614.92,1245.71
2009,3136,227,Centre Tercera Edat,Treballs altres empreses,,,10500,4026.59,14526.59,13788.79
2009,3136,623,Centre Tercera Edat,"Maquinaria, Inst. i Utill",,,0,1069.52,1069.52,534.76
2009,3139,202,Centre dia per a menors,Edificis i altres constru,,,12300,-10271.91,2028.09,11978.4
2009,3139,226,Centre dia per a menors,Despeses diverses,,,8000,20960,28960,14888.38
2009,3139,227,Centre dia per a menors,Treballs altres empreses,,,0,538.98,538.98,269.49
2009,3139,626,Centre dia per a menors,Equips per porc. informac,,,0,6000,6000,5999.98
