#Aplicación presupuestaria,Económico,Desc. capítulo,Desc. económico,Previsión inicial,Modificaciones,Previsión definitiva,DR neto
2012.0.0.0.0.39610,39610,"Tasas, precios públicos y otros ingresos",Quotes d'Urbanització,1.0,,1.0,
2012.0.0.0.0.39710,39710,"Tasas, precios públicos y otros ingresos",Otros ingresos por aprovechamientos urbanísticos,,,,100137.69
2012.0.0.0.0.39900,39900,"Tasas, precios públicos y otros ingresos",Altres Ing. Paper Cartro,42008.0,,42008.0,47312.11
2012.0.0.0.0.39901,39901,"Tasas, precios públicos y otros ingresos",Altres Ing. Edictes Contr,3300.0,,3300.0,
2012.0.0.0.0.39902,39902,"Tasas, precios públicos y otros ingresos",Altres Ing. Conces. Aigua,33156.24,,33156.24,33571.69
2012.0.0.0.0.39903,39903,"Tasas, precios públicos y otros ingresos",Altr.Ing.Con.Piscin.Estiu,15000.0,,15000.0,8740.75
2012.0.0.0.0.39905,39905,"Tasas, precios públicos y otros ingresos",Altr.Ingr.Exec.Subsidiari,1.0,,1.0,
2012.0.0.0.0.39906,39906,"Tasas, precios públicos y otros ingresos",Altr.Ing.Retir.Vehi.Aband,2143.4,,2143.4,
2012.0.0.0.0.39907,39907,"Tasas, precios públicos y otros ingresos",gestió ecoparc Beniparrel,14602.82,,14602.82,
2012.0.0.0.0.39908,39908,"Tasas, precios públicos y otros ingresos",Subhasta Vedat,21887.64,41748.79,63636.43,63636.43
2012.0.0.0.0.39909,39909,"Tasas, precios públicos y otros ingresos",Altres Ingressos,5000.0,12158.62,17158.62,29272.61
2012.0.0.0.0.42000,42000,Transferencia corrientes,Particip. Tributs d'Estat,2707207.2,,2707207.2,3244736.35
2012.0.0.0.0.42090,42090,Transferencia corrientes,Altres Transfer d'Estat,,6518.87,6518.87,757.36
2012.0.0.0.0.45080,45080,Transferencia corrientes,Subvencions Generalitat,305004.62,507687.02,812691.64,668400.0
2012.0.0.0.0.46100,46100,Transferencia corrientes,Subvencions Diputació,16113.57,133023.29,149136.86,181600.96
2012.0.0.0.0.46600,46600,Transferencia corrientes,Subvencions F.V.M.P.,64860.49,200.0,65060.49,44093.13
2012.0.0.0.0.49000,49000,Transferencia corrientes,Subvencions Fons Europeus,,18569.34,18569.34,442.39
2012.0.0.0.0.49700,49700,Transferencia corrientes,Otras transferencias de la Unión Europea,,,,889.52
2012.0.0.0.0.52000,52000,Ingresos patrimoniales,Interessos Dipòsits E.B.,919.0,,919.0,2559.96
2012.0.0.0.0.54100,54100,Ingresos patrimoniales,Renda de Bens Immobles,1916.1,,1916.1,
2012.0.0.0.0.55000,55000,Ingresos patrimoniales,C.A. Terrenys antenes,10651.91,,10651.91,2554.16
2012.0.0.0.0.55003,55003,Ingresos patrimoniales,C.A. Bar Pisicna Estiu,6481.97,,6481.97,7564.09
2012.0.0.0.0.55004,55004,Ingresos patrimoniales,C.A. Parades Mercat,24557.84,,24557.84,24417.0
2012.0.0.0.0.55009,55009,Ingresos patrimoniales,Altres Concessions Admini,1.0,,1.0,
2012.0.0.0.0.55100,55100,Ingresos patrimoniales,Cessió de Ninxols,37080.0,,37080.0,36903.86
2012.0.0.0.0.72100,72100,Transferencias de capital,Subvencions S.P.E.E,17679.18,,17679.18,15738.14
2012.0.0.0.0.75080,75080,Transferencias de capital,Subvencions Generalitat,3438.4,107498.0,110936.4,
2012.0.0.0.0.76100,76100,Transferencias de capital,Subvencions Diputació,,271850.56,271850.56,271850.74
2012.0.0.0.0.87010,87010,Activos financieros,Para gastos con financiación afectada,,1229956.77,1229956.77,
2012.0.0.0.0.91300,91300,Pasivos financieros,Préstecs Entitats Finance,580193.13,,580193.13,580193.13
#,,,,12131268.79,2333271.92,14464540.71,13963223.61
