#Aplicación presupuestaria,Económico,Desc. capítulo,Desc. económico,Previsión inicial,Modificaciones,Previsión definitiva,DR neto
2012.0.0.0.0.11200,11200,Impuestos directos,I.B.I. Rústica,40387.15,,40387.15,40020.42
2012.0.0.0.0.11300,11300,Impuestos directos,I.B.I. Urbana,4274707.24,,4274707.24,4925654.54
2012.0.0.0.0.11400,11400,Impuestos directos,I.B.I. carac. Especials,30000.0,,30000.0,29209.14
2012.0.0.0.0.11500,11500,Impuestos directos,Imp. Vehic. trac. mecànic,1100000.0,,1100000.0,1014347.57
2012.0.0.0.0.11600,11600,Impuestos directos,I.I.V.T.N. Urbana,170000.0,,170000.0,346841.51
2012.0.0.0.0.13000,13000,Impuestos directos,I.A.E. Activi. Empresaria,1033560.26,,1033560.26,930651.04
2012.0.0.0.0.29000,29000,Impuestos indirectos,I.C.I.O,100000.0,,100000.0,70794.86
2012.0.0.0.0.30200,30200,"Tasas, precios públicos y otros ingresos",Taxa Recollid. residus ur,80364.48,,80364.48,77512.83
2012.0.0.0.0.30900,30900,"Tasas, precios públicos y otros ingresos",Taxa Servei Cementeri,5150.0,,5150.0,4884.36
2012.0.0.0.0.31300,31300,"Tasas, precios públicos y otros ingresos",Taxa utilitz. poliesport.,41200.0,,41200.0,33380.12
2012.0.0.0.0.31301,31301,"Tasas, precios públicos y otros ingresos",Taxa utili. Piscina Estiu,61800.0,,61800.0,44737.5
2012.0.0.0.0.31302,31302,"Tasas, precios públicos y otros ingresos",Taxa utili. Piscina Cober,210000.0,,210000.0,67604.5
2012.0.0.0.0.31900,31900,"Tasas, precios públicos y otros ingresos",Taxa Captura Gossos,760.0,,760.0,390.0
2012.0.0.0.0.31901,31901,"Tasas, precios públicos y otros ingresos",Taxa utilit. locals Públi,2000.0,,2000.0,1570.0
2012.0.0.0.0.32100,32100,"Tasas, precios públicos y otros ingresos",Taxa Llicències urbanísti,20500.0,,20500.0,11082.59
2012.0.0.0.0.32200,32200,"Tasas, precios públicos y otros ingresos",Llicènc. prim. ocup habit,15000.0,,15000.0,8113.16
2012.0.0.0.0.32500,32500,"Tasas, precios públicos y otros ingresos",Taxa exped. docum. admin.,2500.0,,2500.0,3249.32
2012.0.0.0.0.32600,32600,"Tasas, precios públicos y otros ingresos",Taxa serv.retir. vehicles,70000.0,,70000.0,49037.62
2012.0.0.0.0.32900,32900,"Tasas, precios públicos y otros ingresos",Taxa Llicèn. obert. estab,61800.0,,61800.0,44475.87
2012.0.0.0.0.33100,33100,"Tasas, precios públicos y otros ingresos",Taxa Entr. Vehi Voreres,104990.95,,104990.95,101808.61
2012.0.0.0.0.33200,33200,"Tasas, precios públicos y otros ingresos",Taxa Emp. Expl. Suministr,264109.0,,264109.0,265554.35
2012.0.0.0.0.33300,33300,"Tasas, precios públicos y otros ingresos",Taxa Emp. Expl.Serv.Telec,65000.0,,65000.0,-7465.06
2012.0.0.0.0.33400,33400,"Tasas, precios públicos y otros ingresos",Taxa Ocup. Vies Obres,2000.0,,2000.0,2303.1
2012.0.0.0.0.33500,33500,"Tasas, precios públicos y otros ingresos",Taxa Ocup.Vies Taules i C,25000.0,,25000.0,29366.49
2012.0.0.0.0.33800,33800,"Tasas, precios públicos y otros ingresos",Taxa Comp.Telef.Expaña SA,44512.9,,44512.9,30660.01
2012.0.0.0.0.33900,33900,"Tasas, precios públicos y otros ingresos",Taxa Ocu.Vies Mercat Fest,53000.0,,53000.0,51536.32
2012.0.0.0.0.33901,33901,"Tasas, precios públicos y otros ingresos",Taxa Ocup Vies Fira S.Seb,32575.0,,32575.0,24000.0
2012.0.0.0.0.34200,34200,"Tasas, precios públicos y otros ingresos",P.P.A.E. cursos EPA,14327.3,,14327.3,17298.0
2012.0.0.0.0.34201,34201,"Tasas, precios públicos y otros ingresos",P.P.A.E.C. Escoles N/P/E,16862.0,,16862.0,30.0
2012.0.0.0.0.34202,34202,"Tasas, precios públicos y otros ingresos",P.P.A.E.C.Campament Estiu,6155.0,,6155.0,
2012.0.0.0.0.34203,34203,"Tasas, precios públicos y otros ingresos",P.P.A.E.C.Escola Matinera,10000.0,,10000.0,3602.8
2012.0.0.0.0.34204,34204,"Tasas, precios públicos y otros ingresos",p.p. escoleta infantil,12000.0,,12000.0,
2012.0.0.0.0.34400,34400,"Tasas, precios públicos y otros ingresos",P.P.A.E.C. Teatre,2948.0,,2948.0,7599.0
2012.0.0.0.0.34401,34401,"Tasas, precios públicos y otros ingresos",p.p. escola teatre,9750.0,,9750.0,43.0
2012.0.0.0.0.35000,35000,"Tasas, precios públicos y otros ingresos",Contribucions Especials,1.0,,1.0,
2012.0.0.0.0.38900,38900,"Tasas, precios públicos y otros ingresos",Reint. PPTO. tancats  O.C,1.0,4060.66,4061.66,6655.8
2012.0.0.0.0.38901,38901,"Tasas, precios públicos y otros ingresos",Reinteg. Estat i S.S.,1.0,,1.0,77308.1
2012.0.0.0.0.38903,38903,"Tasas, precios públicos y otros ingresos",Reinteg.Pom.Vivendes VPO,1.0,,1.0,
2012.0.0.0.0.39120,39120,"Tasas, precios públicos y otros ingresos",Multes Ordenança Circulac,100000.0,,100000.0,154671.56
2012.0.0.0.0.39190,39190,"Tasas, precios públicos y otros ingresos",Altres Multes i Sancions,3500.0,,3500.0,25591.56
2012.0.0.0.0.39200,39200,"Tasas, precios públicos y otros ingresos",Recarrecs Sense Requerime,42600.0,,42600.0,5476.14
2012.0.0.0.0.39210,39210,"Tasas, precios públicos y otros ingresos",Recarrec Executiu,17000.0,,17000.0,6235.85
2012.0.0.0.0.39211,39211,"Tasas, precios públicos y otros ingresos",Recarrec d'Apremi,46000.0,,46000.0,62855.89
2012.0.0.0.0.39301,39301,"Tasas, precios públicos y otros ingresos",Interessos de Demora,26000.0,,26000.0,29163.07
2012.0.0.0.0.39600,39600,"Tasas, precios públicos y otros ingresos",Cannon d'urbanització,1.0,,1.0,
