#Aplicación presupuestaria,Programa,Económico,Desc. programa,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2012.0.0.2331.0.160,2331,160,Ajuda a la dependència,Quotes socials,,,11713.97,130.19,11844.16,11903.88
2012.0.0.2410.0.120,2410,120,Escoles Taller,Retribucions bàsiques,,,,157525.27,157525.27,145446.79
2012.0.0.2410.0.131,2410,131,Escoles Taller,Personal Laboral eventual,,,,117858.3,117858.3,114054.81
2012.0.0.2410.0.160,2410,160,Escoles Taller,Quotes socials,,,,57345.13,57345.13,56498.17
2012.0.0.2410.0.226,2410,226,Escoles Taller,Despeses diverses,,,2000.0,86346.4,88346.4,83825.74
2012.0.0.2410.0.481,2410,481,Escoles Taller,Premis i Beques,,,,25242.0,25242.0,23895.76
2012.0.0.2411.0.120,2411,120,Promoció de l'ocupació,Retribucions bàsiques,,,,,,719.89
2012.0.0.2411.0.131,2411,131,Promoció de l'ocupació,Personal Laboral eventual,,,2878.67,31143.43,34022.1,18987.37
2012.0.0.2411.0.160,2411,160,Promoció de l'ocupació,Quotes socials,,,949.96,8133.46,9083.42,22137.6
2012.0.0.2411.0.226,2411,226,Promoció de l'ocupació,Despeses diverses,,,3000.0,677.6,3677.6,3677.6
2012.0.0.2411.0.227,2411,227,Promoció de l'ocupació,Treb.real.altres empreses,,,,40460.0,40460.0,
2012.0.0.2412.0.131,2412,131,Bossa d'ocupació,Personal Laboral eventual,,,6265.53,,6265.53,
2012.0.0.2412.0.160,2412,160,Bossa d'ocupació,Quotes socials,,,2067.62,,2067.62,
2012.0.0.3130.0.221,3130,221,Medicaments i prod sanita,Subministres,,,500.0,,500.0,235.25
2012.0.0.3131.0.227,3131,227,Salut Pública,Treb.real.altres empreses,,,29200.0,12745.24,41945.24,37557.02
2012.0.0.3132.0.227,3132,227,Desinfeccio i Desratitza.,Treb.real.altres empreses,,,10000.0,,10000.0,5562.3
2012.0.0.3133.0.130,3133,130,Ciutats sanes,Personal laboral fix,,,14914.88,-1145.11,13769.77,13163.94
2012.0.0.3133.0.160,3133,160,Ciutats sanes,Quotes socials,,,4623.61,,4623.61,4354.7
2012.0.0.3133.0.226,3133,226,Ciutats sanes,Despeses diverses,,,800.0,-708.8,91.2,
2012.0.0.3134.0.120,3134,120,Servei Mèdic,Retribucions bàsiques,,,35563.26,,35563.26,33811.31
2012.0.0.3134.0.121,3134,121,Servei Mèdic,Retribucions complementar,,,48033.02,,48033.02,44460.93
2012.0.0.3134.0.160,3134,160,Servei Mèdic,Quotes socials,,,25914.85,-1839.76,24075.09,19716.54
2012.0.0.3200.0.226,3200,226,Ponència d'educació,Despeses diverses,,,5000.0,-4306.58,693.42,220.89
2012.0.0.3210.0.227,3210,227,Ensenyament Preescolar,Treb.real.altres empreses,,,15000.0,-6600.0,8400.0,3579.9
2012.0.0.3210.0.482,3210,482,Ensenyament Preescolar,Guarderia xiquets 0-3 any,,,8000.0,-8000.0,,
2012.0.0.3211.0.120,3211,120,Ensenyament Primari,Retribucions bàsiques,,,38488.73,11502.75,49991.48,35884.02
2012.0.0.3211.0.121,3211,121,Ensenyament Primari,Retribucions complementar,,,40243.39,,40243.39,47539.12
2012.0.0.3211.0.160,3211,160,Ensenyament Primari,Quotes socials,,,24406.96,1407.33,25814.29,26524.62
2012.0.0.3211.0.203,3211,203,Ensenyament Primari,Arrendament maquinaria,,,43724.02,,43724.02,
2012.0.0.3211.0.212,3211,212,Ensenyament Primari,Rep.mment.i cons.edificis,,,5889.68,8665.26,14554.94,10581.67
2012.0.0.3211.0.221,3211,221,Ensenyament Primari,Subministres,,,85930.0,104577.28,190507.28,134584.22
2012.0.0.3230.0.130,3230,130,Escola Permanent d'Adults,Personal laboral fix,,,46070.68,,46070.68,40274.95
2012.0.0.3230.0.131,3230,131,Escola Permanent d'Adults,Personal Laboral eventual,,,,13351.28,13351.28,12940.5
2012.0.0.3230.0.160,3230,160,Escola Permanent d'Adults,Quotes socials,,,14281.91,83.28,14365.19,17918.71
2012.0.0.3230.0.203,3230,203,Escola Permanent d'Adults,Arrendament maquinaria,,,3000.0,,3000.0,
2012.0.0.3230.0.226,3230,226,Escola Permanent d'Adults,Despeses diverses,,,2500.0,,2500.0,3219.24
2012.0.0.3230.0.227,3230,227,Escola Permanent d'Adults,Treb.real.altres empreses,,,25000.0,-13154.36,11845.64,6786.0
2012.0.0.3240.0.131,3240,131,Beques estudis,Personal Laboral eventual,,,,36000.0,36000.0,35649.98
2012.0.0.3240.0.160,3240,160,Beques estudis,Quotes socials,,,,2484.72,2484.72,2484.64
2012.0.0.3240.0.480,3240,480,Beques estudis,Ajudes indiv i atenc bene,,,,,,2800.0
2012.0.0.3240.0.481,3240,481,Beques estudis,Premis i Beques,,,97000.0,-70876.68,26123.32,4950.0
2012.0.0.3241.0.481,3241,481,Beques Menjador,Premis i Beques,,,18000.0,-8009.3,9990.7,9990.7
2012.0.0.3242.0.120,3242,120,Gabinet psicopedagògic,Retribucions bàsiques,,,54755.94,38105.42,92861.36,54133.55
2012.0.0.3242.0.121,3242,121,Gabinet psicopedagògic,Retribucions complementar,,,55174.14,-3107.85,52066.29,78034.2
2012.0.0.3242.0.160,3242,160,Gabinet psicopedagògic,Quotes socials,,,34078.32,,34078.32,40492.32
2012.0.0.3243.0.410,3243,410,OOAA Conservatori Música,OOAA Conservatori Música,,,263109.0,,263109.0,263109.0
2012.0.0.3300.0.120,3300,120,Animador Cultural,Retribucions bàsiques,,,36581.16,7231.33,43812.49,38217.66
2012.0.0.3300.0.121,3300,121,Animador Cultural,Retribucions complementar,,,41429.64,,41429.64,39330.83
2012.0.0.3300.0.150,3300,150,Animador Cultural,Complement Productivitat,,,,,,2148.72
2012.0.0.3300.0.160,3300,160,Animador Cultural,Quotes socials,,,24183.35,,24183.35,23543.3
2012.0.0.3320.0.120,3320,120,Biblioteques i Arxius,Retribucions bàsiques,,,42302.23,,42302.23,39480.25
2012.0.0.3320.0.121,3320,121,Biblioteques i Arxius,Retribucions complementar,,,41542.62,,41542.62,38471.03
2012.0.0.3320.0.160,3320,160,Biblioteques i Arxius,Quotes socials,,,25991.9,,25991.9,24331.39
2012.0.0.3320.0.212,3320,212,Biblioteques i Arxius,Rep.mment.i cons.edificis,,,1000.0,-608.36,391.64,391.64
2012.0.0.3320.0.226,3320,226,Biblioteques i Arxius,Despeses diverses,,,2500.0,-417.07,2082.93,547.37
2012.0.0.3321.1201.627,3321,627,Biblioteques,Inv. nova Projec. compex,1201,Adquis llibres cd's,3438.4,1000.0,4438.4,994.49
2012.0.0.3322.0.202,3322,202,Arxius,Arrendament edifici,,,18317.0,-5291.57,13025.43,12101.72
2012.0.0.3340.0.226,3340,226,Ponència de Cultura,Despeses diverses,,,28000.0,-12059.6,15940.4,11503.0
2012.0.0.3341.0.120,3341,120,Casa de la Cultura,Retribucions bàsiques,,,19141.1,,19141.1,17785.11
2012.0.0.3341.0.121,3341,121,Casa de la Cultura,Retribucions complementar,,,21400.82,,21400.82,19403.56
2012.0.0.3341.0.160,3341,160,Casa de la Cultura,Quotes socials,,,12568.0,,12568.0,12005.18
2012.0.0.3342.0.226,3342,226,Setmana lletres valencian,Despeses diverses,,,2500.0,,2500.0,1335.13
2012.0.0.3343.0.226,3343,226,Campanya animació lectura,Despeses diverses,,,1000.0,-1000.0,,
2012.0.0.3344.0.226,3344,226,Projectes cultur. Europeu,Despeses diverses,,,,5181.01,5181.01,4940.67
2012.0.0.3344.0.481,3344,481,Projectes cultur. Europeu,Premis i Beques,,,,14348.33,14348.33,14347.71
2012.0.0.3345.0.489,3345,489,Bandes de Música,Aportacions i subvencions,,,30000.0,-23139.94,6860.06,
2012.0.0.3347.0.120,3347,120,Pomoció d'Ús Valencià,Retribucions bàsiques,,,17581.44,,17581.44,16655.66
2012.0.0.3347.0.121,3347,121,Pomoció d'Ús Valencià,Retribucions complementar,,,16672.88,,16672.88,15402.56
2012.0.0.3347.0.160,3347,160,Pomoció d'Ús Valencià,Quotes socials,,,10618.84,,10618.84,8529.32
2012.0.0.3347.0.220,3347,220,Pomoció d'Ús Valencià,Material oficina,,,300.0,,300.0,
2012.0.0.3347.0.226,3347,226,Pomoció d'Ús Valencià,Despeses diverses,,,1500.0,,1500.0,1646.1
2012.0.0.3350.0.130,3350,130,Escola de Teatre,Personal laboral fix,,,5866.1,128.35,5994.45,5750.19
2012.0.0.3350.0.160,3350,160,Escola de Teatre,Quotes socials,,,1818.49,248.82,2067.31,2067.31
2012.0.0.3350.0.226,3350,226,Escola de Teatre,Despeses diverses,,,1500.0,,1500.0,1500.0
2012.0.0.3351.0.226,3351,226,Representacions teatrals,Despeses diverses,,,20000.0,26144.81,46144.81,39285.23
2012.0.0.3360.1203.627,3360,627,Arqueología y protección del Patrimonio Histórico-Artístico,Inv. nova Projec. compex,1203,Piezas museables,,19999.82,19999.82,19999.82
2012.0.0.3370.0.120,3370,120,Ponència de Joventut,Retribucions bàsiques,,,34884.34,5149.55,40033.89,31242.37
2012.0.0.3370.0.121,3370,121,Ponència de Joventut,Retribucions complementar,,,40734.54,,40734.54,35463.64
2012.0.0.3370.0.131,3370,131,Ponència de Joventut,Personal Laboral eventual,,,27785.58,-5847.82,21937.76,3722.7
2012.0.0.3370.0.160,3370,160,Ponència de Joventut,Quotes socials,,,32611.09,-8705.5,23905.59,22295.8
2012.0.0.3371.0.226,3371,226,Centre informacio juvenil,Despeses diverses,,,24118.85,-20695.68,3423.17,3084.82
2012.0.0.3379.0.212,3379,212,Centre Tercera edat,Rep.mment.i cons.edificis,,,1842.24,,1842.24,2453.64
2012.0.0.3379.0.221,3379,221,Centre Tercera edat,Subministres,,,27897.24,9715.0,37612.24,17185.84
2012.0.0.3379.0.226,3379,226,Centre Tercera edat,Despeses diverses,,,1000.0,,1000.0,725.16
2012.0.0.3380.0.226,3380,226,Festes Populars,Despeses diverses,,,50000.0,74537.05,124537.05,124026.11
2012.0.0.3410.0.226,3410,226,Ponència d'Esports,Despeses diverses,,,15000.0,-8372.32,6627.68,2956.19
2012.0.0.3410.0.489,3410,489,Ponència d'Esports,Aportacions i subvencions,,,95000.0,,95000.0,95000.0
