#Aplicación presupuestaria,Programa,Económico,Desc. programa,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2013.0.0.3240.0.481,3240,481,Beques estudis,Premis i Beques,,,97000.0,,97000.0,10066.0
2013.0.0.3241.0.481,3241,481,Beques Menjador,Premis i Beques,,,18000.0,,18000.0,
2013.0.0.3242.0.120,3242,120,Gabinet psicopedagògic,Retribucions bàsiques,,,54755.94,3111.95,57867.89,55445.94
2013.0.0.3242.0.121,3242,121,Gabinet psicopedagògic,Retribucions complementar,,,55174.14,,55174.14,57075.79
2013.0.0.3242.0.160,3242,160,Gabinet psicopedagògic,Quotes socials,,,34078.32,,34078.32,31783.12
2013.0.0.3243.0.410,3243,410,OOAA Conservatori Música,OOAA Conservatori Música,,,263109.0,,263109.0,263109.0
2013.1.0.3243.0.780,3243,780,OOAA Conservatori Música,A instit. sense fi lucre,,,,6.01,6.01,
2013.0.0.3300.0.120,3300,120,Animador Cultural,Retribucions bàsiques,,,36581.16,,36581.16,39877.99
2013.0.0.3300.0.121,3300,121,Animador Cultural,Retribucions complementar,,,41429.64,268.82,41698.46,42349.18
2013.0.0.3300.0.160,3300,160,Animador Cultural,Quotes socials,,,24183.35,3366.91,27550.26,23602.71
2013.0.0.3320.0.120,3320,120,Biblioteques i Arxius,Retribucions bàsiques,,,42302.23,,42302.23,42698.36
2013.0.0.3320.0.121,3320,121,Biblioteques i Arxius,Retribucions complementar,,,41542.62,,41542.62,41370.51
2013.0.0.3320.0.160,3320,160,Biblioteques i Arxius,Quotes socials,,,25991.9,548.99,26540.89,24392.22
2013.0.0.3320.0.212,3320,212,Biblioteques i Arxius,Rep.mment.i cons.edificis,,,1000.0,,1000.0,478.54
2013.0.0.3320.0.226,3320,226,Biblioteques i Arxius,Despeses diverses,,,2500.0,,2500.0,218.38
2013.0.0.3322.0.202,3322,202,Arxius,Arrendament edifici,,,18317.0,,18317.0,12000.0
2013.0.0.3340.0.226,3340,226,Ponència de Cultura,Despeses diverses,,,28000.0,30000.0,58000.0,47622.48
2013.1.0.3340.0.780,3340,780,Ponència de Cultura,A instit. sense fi lucre,,,,50.0,50.0,
2013.0.0.3341.0.120,3341,120,Casa de la Cultura,Retribucions bàsiques,,,19141.1,,19141.1,17622.74
2013.0.0.3341.0.121,3341,121,Casa de la Cultura,Retribucions complementar,,,21400.82,-888.71,20512.11,19260.33
2013.0.0.3341.0.160,3341,160,Casa de la Cultura,Quotes socials,,,12568.0,197.46,12765.46,11734.8
2013.1.0.3341.0626.632,3341,632,Casa de la Cultura,Inv. repos.Edificis i con,0626,Condic. centre cultural,,1790.09,1790.09,1142.99
2013.0.0.3342.0.226,3342,226,Setmana lletres valencian,Despeses diverses,,,2500.0,,2500.0,899.76
2013.0.0.3343.0.226,3343,226,Campanya animació lectura,Despeses diverses,,,1000.0,,1000.0,
2013.0.0.3344.0.226,3344,226,Projectes cultur. Europeu,Despeses diverses,,,,300.0,300.0,300.0
2013.0.0.3344.1303.226,3344,226,Projectes cultur. Europeu,Despeses diverses,1303,MOU-TE PER EUROPA,,6540.0,6540.0,6463.12
2013.0.0.3344.1304.226,3344,226,Projectes cultur. Europeu,Despeses diverses,1304,Able Youth,,6588.0,6588.0,6588.0
2013.1.0.3344.0.226,3344,226,Projectes cultur. Europeu,Despeses diverses,,,,200.0,200.0,200.0
2013.0.0.3344.0.481,3344,481,Projectes cultur. Europeu,Premis i Beques,,,,230.15,230.15,230.15
2013.0.0.3344.1304.481,3344,481,Projectes cultur. Europeu,Premis i Beques,1304,,,3780.0,3780.0,1823.27
2013.0.0.3345.0.489,3345,489,Bandes de Música,Aportacions i subvencions,,,30000.0,-30000.0,,
2013.0.0.3347.0.120,3347,120,Pomoció d'Ús Valencià,Retribucions bàsiques,,,17581.44,,17581.44,17581.44
2013.0.0.3347.0.121,3347,121,Pomoció d'Ús Valencià,Retribucions complementar,,,16672.88,,16672.88,16672.88
2013.0.0.3347.0.160,3347,160,Pomoció d'Ús Valencià,Quotes socials,,,10618.84,,10618.84,8632.08
2013.0.0.3347.0.220,3347,220,Pomoció d'Ús Valencià,Material oficina,,,300.0,,300.0,
2013.0.0.3347.0.226,3347,226,Pomoció d'Ús Valencià,Despeses diverses,,,1500.0,,1500.0,
2013.0.0.3350.0.130,3350,130,Escola de Teatre,Personal laboral fix,,,5866.1,,5866.1,5825.51
2013.0.0.3350.0.160,3350,160,Escola de Teatre,Quotes socials,,,1818.49,220.19,2038.68,2079.27
2013.0.0.3350.0.226,3350,226,Escola de Teatre,Despeses diverses,,,1500.0,,1500.0,811.13
2013.0.0.3351.0.226,3351,226,Representacions teatrals,Despeses diverses,,,20000.0,900.0,20900.0,14533.24
2013.1.0.3351.0.226,3351,226,Representacions teatrals,Despeses diverses,,,,3004.87,3004.87,2093.94
2013.0.0.3360.1305.625,3360,625,Arqueología y protección del Patrimonio Histórico-Artístico,Inv. nova Mobiliari,1305,Equipament cultural SARC,,1432.64,1432.64,1432.64
2013.0.0.3360.1103.627,3360,627,Arqueología y protección del Patrimonio Histórico-Artístico,Inv. nova Projec. compex,1103,Rest.torre muralles pedra,,107487.47,107487.47,107487.47
2013.0.0.3370.0.120,3370,120,Ponència de Joventut,Retribucions bàsiques,,,34884.34,,34884.34,34640.46
2013.0.0.3370.0.121,3370,121,Ponència de Joventut,Retribucions complementar,,,40734.54,,40734.54,40395.66
2013.0.0.3370.0.131,3370,131,Ponència de Joventut,Personal Laboral eventual,,,27785.58,-35111.99,-7326.41,1369.98
2013.0.0.3370.0.160,3370,160,Ponència de Joventut,Quotes socials,,,32611.09,,32611.09,21058.57
2013.0.0.3371.0.226,3371,226,Centre informacio juvenil,Despeses diverses,,,24118.85,795.94,24914.79,8359.74
2013.0.0.3371.0.227,3371,227,Centre informacio juvenil,Treb.real.altres empreses,,,,,,1086.34
2013.0.0.3379.0.212,3379,212,Centre Tercera edat,Rep.mment.i cons.edificis,,,1842.24,,1842.24,2646.52
2013.0.0.3379.0.221,3379,221,Centre Tercera edat,Subministres,,,27897.24,,27897.24,14838.91
2013.0.0.3379.0.226,3379,226,Centre Tercera edat,Despeses diverses,,,1000.0,,1000.0,212.71
2013.0.0.3380.0.226,3380,226,Festes Populars,Despeses diverses,,,50000.0,35000.0,85000.0,67846.2
2013.0.0.3410.0.226,3410,226,Ponència d'Esports,Despeses diverses,,,15000.0,,15000.0,7395.29
2013.0.0.3410.0.489,3410,489,Ponència d'Esports,Aportacions i subvencions,,,95000.0,,95000.0,50000.0
2013.0.0.3420.0.120,3420,120,Piscina d'Estiu,Retribucions bàsiques,,,,,,2757.96
2013.0.0.3420.0.121,3420,121,Piscina d'Estiu,Retribucions complementar,,,,,,998.1
2013.0.0.3420.0.130,3420,130,Piscina d'Estiu,Personal laboral fix,,,52822.81,,52822.81,40884.24
2013.0.0.3420.0.160,3420,160,Piscina d'Estiu,Quotes socials,,,16375.07,,16375.07,14113.67
2013.0.0.3420.0.213,3420,213,Piscina d'Estiu,Rep.mment i cons.Maquinar,,,22000.0,,22000.0,2198.57
2013.0.0.3420.0.227,3420,227,Piscina d'Estiu,Treb.real.altres empreses,,,12600.0,4967.0,17567.0,22944.81
2013.0.0.3421.0.120,3421,120,Poliesportiu Municipal,Retribucions bàsiques,,,48064.0,,48064.0,48314.18
2013.0.0.3421.0.121,3421,121,Poliesportiu Municipal,Retribucions complementar,,,77016.38,,77016.38,77017.78
2013.0.0.3421.0.160,3421,160,Poliesportiu Municipal,Quotes socials,,,38774.92,327.84,39102.76,36519.48
2013.0.0.3421.0.212,3421,212,Poliesportiu Municipal,Rep.mment.i cons.edificis,,,1000.0,,1000.0,1461.11
2013.0.0.3421.0.213,3421,213,Poliesportiu Municipal,Rep.mment i cons.Maquinar,,,5000.0,,5000.0,1779.59
2013.0.0.3421.0.221,3421,221,Poliesportiu Municipal,Subministres,,,67108.62,-1616.17,65492.45,51088.55
2013.0.0.3421.1312.612,3421,612,Poliesportiu Municipal,Inv. rep infrastructures,1312,GESPA CAMP FUTBOL PAP 13,,280000.0,280000.0,
2013.1.0.3421.0611.622,3421,622,Poliesportiu Municipal,In. nova Edificis i const,0611,Dot. esport. municipals,,41350.5,41350.5,
2013.0.0.3422.0.213,3422,213,Piscines municipals,Rep.mment i cons.Maquinar,,,25678.98,,25678.98,11885.21
2013.0.0.3422.0.221,3422,221,Piscines municipals,Subministres,,,132708.16,1616.17,134324.33,140569.97
2013.0.0.3422.0.227,3422,227,Piscines municipals,Treb.real.altres empreses,,,225000.0,,225000.0,
2013.1.0.3422.0501.600,3422,600,Piscines municipals,Inversions en terrenys,0501,Honoraris i urb.Piscina,,169172.76,169172.76,
2013.0.0.4100.0.120,4100,120,Consell Local Agrari,Retribucions bàsiques,,,45130.54,,45130.54,45422.83
2013.0.0.4100.0.121,4100,121,Consell Local Agrari,Retribucions complementar,,,62686.12,,62686.12,62717.55
2013.0.0.4100.0.160,4100,160,Consell Local Agrari,Quotes socials,,,33423.16,1784.51,35207.67,29308.84
2013.0.0.4100.0.204,4100,204,Consell Local Agrari,Arrendament vehicles,,,9896.16,-3102.8,6793.36,
2013.0.0.4100.0.226,4100,226,Consell Local Agrari,Despeses diverses,,,5000.0,,5000.0,6058.56
2013.1.0.4121.1020.601,4121,601,Millora Medi Natural,Inversió nova en infraest,1020,CASA FIGUERO,,100353.42,100353.42,
2013.0.0.4190.0.120,4190,120,Vedat de caça,Retribucions bàsiques,,,9379.62,,9379.62,9379.6
2013.0.0.4190.0.121,4190,121,Vedat de caça,Retribucions complementar,,,12508.02,,12508.02,12481.14
2013.1.0.4190.0.131,4190,131,Vedat de caça,Personal Laboral eventual,,,,34863.06,34863.06,34863.06
2013.0.0.4190.0.160,4190,160,Vedat de caça,Quotes socials,,,6785.17,10107.93,16893.1,16920.0
2013.1.0.4190.0.160,4190,160,Vedat de caça,Quotes socials,,,,3009.02,3009.02,3009.02
2013.1.0.4190.0.226,4190,226,Vedat de caça,Despeses diverses,,,,39977.19,39977.19,33751.47
2013.1.0.4190.0.600,4190,600,Vedat de caça,Inversions en terrenys,,,,1482.37,1482.37,
2013.0.0.4300.0.226,4300,226,Promoció Econòmica,Despeses diverses,,,6850.0,,6850.0,4338.0
2013.0.0.4310.0.212,4310,212,Mercat Municipal,Rep.mment.i cons.edificis,,,2204.0,,2204.0,1838.19
2013.0.0.4310.0.221,4310,221,Mercat Municipal,Subministres,,,5000.0,3102.8,8102.8,8468.61
2013.0.0.4311.0.226,4311,226,Fira Sant Sebastià,Despeses diverses,,,32575.0,30000.0,62575.0,52518.71
2013.0.0.4330.0.489,4330,489,Promoció empresarial,Aportacions i subvencions,,,10000.0,,10000.0,10000.0
2013.1.0.4500.1021.627,4500,627,Porjectes i direccio obr.,Inv. nova Projec. compex,1021,PROJ. DIREC. OBRES I LLIC,,7219.72,7219.72,1633.5
2013.1.0.4520.0508.602,4520,602,Recursos Hidràulics,Inversio nova en infraest,0508,Invers.xarxa aigües pluv.,,130412.54,130412.54,25706.79
2013.0.0.4540.1313.601,4540,601,Camins rurals,Inversió nova en infraest,1313,reconst.marges i neteja,,14894.36,14894.36,14661.49
2013.0.0.4540.1315.601,4540,601,Camins rurals,Inversió nova en infraest,1315,Millora camns PCR2013/150,,25000.0,25000.0,19875.64
2013.1.0.4540.1022.601,4540,601,Camins rurals,Inversió nova en infraest,1022,CAMINS RURALS,,36155.56,36155.56,307.6
2013.1.0.4540.1202.601,4540,601,Camins rurals,Inversió nova en infraest,1202,rep. cam. rural.PCR127/12,,25000.0,25000.0,25000.0
2013.0.0.4540.1301.611,4540,611,Camins rurals,Inversio reposicio infrae,1301,Pluges/2012/26,,250.54,250.54,250.54
2013.0.0.4910.0.489,4910,489,Mitjans de comunicació,Aportacions i subvencions,,,10000.0,-2000.0,8000.0,
2013.0.0.4911.0.110,4911,110,Gabinet de comunicacio,Retrib. personal eventual,,,35499.94,,35499.94,35499.94
