#Aplicación presupuestaria,Programa,Económico,Desc. programa,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2013.0.0.9310.0.120,9310,120,Àrea Econòmica,Retribucions bàsiques,,,100123.26,-15206.9,84916.36,84773.62
2013.0.0.9310.0.121,9310,121,Àrea Econòmica,Retribucions complementar,,,157638.04,-30577.92,127060.12,137178.34
2013.0.0.9310.0.160,9310,160,Àrea Econòmica,Quotes socials,,,79906.0,-10500.0,69406.0,59105.93
2013.0.0.9320.0.225,9320,225,Recaptació Tributs,Tributos,,,,,,8.42
2013.0.0.9320.0.227,9320,227,Recaptació Tributs,Treb.real.altres empreses,,,31000.0,132551.07,163551.07,163542.65
2013.0.0.9321.0.227,9321,227,Inspecció Tributària,Treb.real.altres empreses,,,25000.0,-25000.0,,
2013.0.0.9340.0.359,9340,359,Entitas finançeres,Otros gastos financieros,,,500.0,,500.0,233.27
2013.0.0.9420.0.466,9420,466,Transferencias a Entidades Locales territoriales,A altres Ent. agrup.munic,,,5100.0,1000.0,6100.0,6051.57
2013.0.0.9430.0.463,9430,463,Transf. altres Ent. Local,A Mancomunitats,,,27000.0,,27000.0,26257.49
2013.0.0.9430.0.464,9430,464,Transf. altres Ent. Local,A Àrees Metropolitanes.,,,58228.17,-58228.17,,
#,,,,,,,11511530.08,2824139.51,14335669.59,12034568.51
